1,HTdrrmsgbQISOjocvucrOvajDFfztCdTBrcv,aBOLvuOChWC,13,10
2,CeRbrReVTIejLOudckfaDsNKAWaiFNyQ,BjSjFQNS,29,3
3,EQokKWQubjl,IOCKubeE,6,15
4,oxZrvpNeaMLGm,UvVUszvvaIJ,26,27
5,bLPjDYaswbEggUMuANWMLWbYzudsx,qKvNCZhYBYmlwBga,8,5
6,esnCwYzUYjDxoYmC,ptrYorZ,15,0
7,FtTxigTWvH,RaSaTpsAwCSor,23,12
8,SHvbHsrNOcmIUvVDSl,NzDubfzIDm,9,13
9,NzKhoXP,qSfRwKhyCAwMwbjl,25,3
10,ADFcthLfvejfBCtAmigyNJhTqSeQTHFmvDHiJN,BPiMzvghtsANwqtNy,4,29
11,IalJuudMbazOLDO,QkRDHehevxaOnJ,9,14
12,JEXuMNlrsSWvcDUZkvxDlmosM,JBdSpkesCFtoQsnpsA,17,23
13,gcIQBRGrWDTKQxDmCmqjUgaEsWMBvhyT,qKvNCZhYBYmlwBga,26,13
14,cDZjKixmrFlOFqRpX,vjbeqpOwvN,26,28
15,rCqwMmmQhlEAlurybOCNW,sBEBjgaIzyvY,8,9
16,wYpdiubzWxG,UfHgqjQHQfIAskfIH,16,30
17,tYqhbsncQSfWBOhJOnynOzEimbrcnOELgnQkPYe,qKvNCZhYBYmlwBga,21,20
18,lKzdrCQKVhdZR,QkRDHehevxaOnJ,5,23
19,nNkRCvKhlmhxTBpHtVbmUA,JQfThHCZbC,0,16
20,lqOyxcgffeeYTdNptGOOOdOUOoyDtRmicT,kQgZbAeWeUpeGTzCbNR,1,15
21,MhVNephuBjOlaQWcCiXBWBejGchuVEyrWBxeIM,rQIBCRMoAKcQunAyQ,24,23
22,tIgcTAuqXcwvgbGqKYlhNGjJEJiOba,VynqspDadNrElNx,10,28
23,SpxgdREAFEDZmqQvhjP,qSfRwKhyCAwMwbjl,12,13
24,kEFZgvsvxUVIXGYFJsYrrGJRgg,wxZTcZiIOlgg,20,3
25,VtPibVdWwoAoLnlrtqt,bNFatjQ,16,2
26,yfZEGdwmXeZVh,NzDubfzIDm,14,26
27,AMialAikqMLlSXrMDrOzsOwQ,CDiKmfruVaIqVTiQw,13,10
28,LnBKfIwDAcwMKyqOtSUbngze,qRLBF,3,8
29,wUKGiWmRNysDfn,ugIcbZMnyZGgciVGZFk,9,27
30,fRLQINfumcumobqsyDjFjDGNKzYTzIKgCSpUxID,aBOLvuOChWC,3,6
31,JAiWBFHmIxyRurxgSgmaOAJaRzRMxAIuGn,CDiKmfruVaIqVTiQw,26,4
32,WNkQzlyFiDvnlLVwvqMcHntTewOhrtGn,vjbeqpOwvN,18,15
33,hNzycMzQpVzJGsRcvjfp,VBQqWOkfVxWSME,14,12
34,NWFrQSjqPDMaVhZwxljBilmSrDHlWM,ZesDVHFxSMwGotMYMErM,0,5
35,JtBvGHBFvyWjpuPjPErBKq,ZnhxZKGwTEr,15,7
36,XxyekJSE,TvpOTATi,6,25
37,TugMzAxQyEfHSVZhoueVrwbLJVTD,mpKUqcZggpti,0,9
38,dOZVceDVBaZ,SDFonnaCFRvdYdOsJUDr,1,13
39,cONWWsjZEOMsWNdBLwGUZauMJATmeZXrigf,BTTOBpR,5,13
40,CgorDWeambuDbCWkgWKhkCjRmgZZeqbOvxBUT,Audar,0,29
41,WrEEcaViLLdAMiejG,CQVXxyM,25,29
42,FwboziYcZGlXHukDLqMphkKNB,mpKUqcZggpti,30,30
43,KxmEaiztVZqtaPPCFcPoy,VBQqWOkfVxWSME,7,5
44,zFNIyqH,SItPobiM,27,26
45,TgPgrDLrUOrhdqFlttnGzlqsOtJi,UCYXan,20,11
46,xVlZBszlPtUetxJOgIjtnfFgzSTLnIUB,UfHgqjQHQfIAskfIH,4,23
47,QZkxZhrxVWqmzL,aBOLvuOChWC,7,20
48,IOVElMpndjzfyJgkbql,IfdesnBXYhiwrjClnA,27,15
49,edtzereuRjRmjqXJoaWKNlx,AfwVtslt,30,21
50,vUzNeybnNexuLkNQqJzSvPQZP,EKSNCSJJVNMNuTcvZpsC,8,24
51,JJYRfyOirzHZaVTSlHZRYPsyWHk,IfdesnBXYhiwrjClnA,10,2
52,IZVusfgSrlWdhMZLGbMpNNkxriS,UvVUszvvaIJ,26,24
53,QblfxclNLKkxjZYLBIOZvACyaeuJDiEycWktFho,vjbeqpOwvN,3,23
54,QjRusqmpjkJNO,beXMGHntDJVUDWK,26,10
55,FkETgdaMLOLOQezvGDPWQOsODfdY,JuaeogfXhB,1,30
56,vNyKBzCGKPZ,uxLOBHzhfUBI,3,29
57,bqLvyVAtjvcrbjMOmRkD,yHDadvIMTqhZrn,17,15
58,aaPQPYcgWvTmgByjcDu,EgmLoEZEW,0,25
59,OubVnUlrJHtV,iGarscDUkofta,17,13
60,NdgLWFRpEqHingFpyKVyTVFdRiVtPUO,OsMhWBUwRkIxk,26,15
61,CBSaYDFEwmhsVPGMaYXMURGabWlOIsncidaMY,oJodHzSIFljCckCrPz,21,13
62,fIOORWtHVXVtzprzMNzJ,rQIBCRMoAKcQunAyQ,2,22
63,bcXUonMiK,GoEGgQhanXxiDtc,5,1
64,yJcXcXgQyEwWsGwSeRnRkOsEfOyxIMSrGqO,VJYWZGldtQrnXPOnVfOQ,16,20
65,urYXVPahlHPdpEWPevvskiDUoNlfW,HNxWXSjjSUvYeEf,26,6
66,BZTcUbULyXRvbadYERvRHIarEOcAZcxcUee,IDOXpvVARye,19,10
67,BvdXPzlXXVhBzKOQEjrgF,aIYMrkGEODc,4,28
68,nSnzJDcijmMPofjbxjOlvvoKFHjLbqx,wlaClloLqbuKpnx,13,3
69,lgstYVuMJMeFHJJPTYJZdkJPyhsZJbMJC,SODUBKLdfqfFEqPrB,26,30
70,rFEasgPLbuQUMEvbtGxEYUKvE,GWookRX,0,25
